State,Prevalence,95% CI
Alabama,42.6,"(31.8, 54.1)"
Alaska,37.1,"(33.7, 40.5)"
Arizona,47.0,"(42.8, 51.2)"
Arkansas,28.4,"(21.3, 36.9)"
California,37.0,"(27.2, 47.9)"
Colorado,37.1,"(30.1, 44.7)"
Connecticut,42.1,"(29.4, 56.0)"
Delaware,40.1,"(25.5, 56.7)"
District of Columbia,Insufficient data*,Insufficient data*
Florida,Insufficient data*,Insufficient data*
Georgia,32.9,"(21.8, 46.2)"
Guam,Insufficient data*,Insufficient data*
Hawaii,Insufficient data*,Insufficient data*
Idaho,45.2,"(36.2, 54.5)"
Illinois,32.0,"(19.0, 48.4)"
Indiana,36.6,"(28.0, 46.2)"
Iowa,44.8,"(34.2, 55.9)"
Kansas,42.9,"(36.3, 49.7)"
Kentucky,37.6,"(25.2, 51.9)"
Louisiana,43.7,"(34.1, 53.7)"
Maine,36.1,"(28.4, 44.6)"
Maryland,24.8,"(17.7, 33.7)"
Massachusetts,25.2,"(15.1, 38.9)"
Michigan,30.1,"(21.6, 40.2)"
Minnesota,45.9,"(40.1, 51.8)"
Mississippi,30.5,"(19.3, 44.6)"
Missouri,33.6,"(25.1, 43.2)"
Montana,41.8,"(37.7, 45.9)"
Nebraska,43.3,"(35.7, 51.2)"
Nevada,45.4,"(31.3, 60.4)"
New Hampshire,34.9,"(22.8, 49.2)"
New Jersey,Insufficient data*,Insufficient data*
New Mexico,45.5,"(41.6, 49.5)"
New York,30.9,"(21.4, 42.4)"
North Carolina,38.3,"(31.7, 45.3)"
North Dakota,49.5,"(43.9, 55.1)"
Ohio,35.1,"(26.5, 44.7)"
Oklahoma,45.9,"(42.4, 49.5)"
Oregon,37.2,"(28.6, 46.7)"
Pennsylvania,28.3,"(15.5, 45.9)"
Puerto Rico,Insufficient data*,Insufficient data*
Rhode Island,42.2,"(30.7, 54.5)"
South Carolina,40.3,"(30.1, 51.5)"
South Dakota,44.1,"(37.1, 51.4)"
Tennessee,31.6,"(22.6, 42.2)"
Texas,36.6,"(23.7, 51.7)"
Utah,46.7,"(38.6, 55.1)"
Vermont,31.6,"(22.6, 42.1)"
Virgin Islands,Insufficient data*,Insufficient data*
Virginia,28.0,"(18.8, 39.4)"
Washington,42.7,"(37.0, 48.6)"
West Virginia,37.1,"(26.3, 49.5)"
Wisconsin,42.3,"(33.6, 51.4)"
Wyoming,37.2,"(28.0, 47.5)"
