State,Prevalence,95% CI
Alabama,49.3,"(47.1, 51.6)"
Alaska,41.8,"(32.9, 51.4)"
Arizona,40.9,"(36.3, 45.7)"
Arkansas,46.6,"(42.8, 50.5)"
California,42.5,"(38.1, 47.1)"
Colorado,31.3,"(27.7, 35.3)"
Connecticut,41.1,"(37.7, 44.6)"
Delaware,46.3,"(43.0, 49.7)"
District of Columbia,38.3,"(36.0, 40.5)"
Florida,Insufficient data*,Insufficient data*
Georgia,42.8,"(40.7, 44.9)"
Guam,Insufficient data*,Insufficient data*
Hawaii,31.2,"(23.8, 39.6)"
Idaho,30.5,"(19.6, 44.2)"
Illinois,41.0,"(37.5, 44.6)"
Indiana,44.0,"(41.3, 46.8)"
Iowa,41.9,"(36.8, 47.3)"
Kansas,39.6,"(36.2, 43.1)"
Kentucky,44.7,"(39.6, 49.9)"
Louisiana,46.5,"(44.1, 48.8)"
Maine,36.9,"(26.8, 48.2)"
Maryland,41.6,"(40.1, 43.1)"
Massachusetts,36.0,"(32.3, 39.8)"
Michigan,42.1,"(39.5, 44.7)"
Minnesota,36.0,"(33.3, 38.8)"
Mississippi,47.5,"(45.7, 49.4)"
Missouri,42.6,"(39.7, 45.5)"
Montana,Insufficient data*,Insufficient data*
Nebraska,37.5,"(32.9, 42.3)"
Nevada,33.4,"(28.3, 38.9)"
New Hampshire,33.7,"(22.9, 46.5)"
New Jersey,37.3,"(34.8, 39.9)"
New Mexico,37.5,"(29.2, 46.6)"
New York,36.3,"(34.5, 38.1)"
North Carolina,48.2,"(45.7, 50.7)"
North Dakota,25.0,"(18.6, 32.8)"
Ohio,43.9,"(41.4, 46.4)"
Oklahoma,46.1,"(41.9, 50.4)"
Oregon,31.0,"(24.2, 38.8)"
Pennsylvania,40.8,"(37.7, 44.1)"
Puerto Rico,Insufficient data*,Insufficient data*
Rhode Island,38.5,"(33.5, 43.8)"
South Carolina,44.9,"(42.6, 47.2)"
South Dakota,28.9,"(18.4, 42.2)"
Tennessee,46.4,"(43.0, 49.9)"
Texas,43.5,"(40.3, 46.8)"
Utah,28.1,"(20.4, 37.5)"
Vermont,28.6,"(20.2, 38.9)"
Virgin Islands,Insufficient data*,Insufficient data*
Virginia,46.7,"(44.6, 48.8)"
Washington,36.1,"(32.5, 39.9)"
West Virginia,42.0,"(36.0, 48.1)"
Wisconsin,49.8,"(44.0, 55.6)"
Wyoming,30.7,"(17.2, 48.7)"
