State,Prevalence,95% CI
Alabama,36.8,"(29.0, 45.3)"
Alaska,33.4,"(27.8, 39.4)"
Arizona,38.2,"(36.4, 40.1)"
Arkansas,33.5,"(28.0, 39.4)"
California,37.8,"(36.1, 39.6)"
Colorado,31.0,"(29.4, 32.6)"
Connecticut,36.0,"(33.5, 38.5)"
Delaware,35.9,"(31.4, 40.6)"
District of Columbia,27.0,"(22.5, 32.1)"
Florida,Insufficient data*,Insufficient data*
Georgia,33.4,"(29.7, 37.2)"
Guam,38.5,"(30.4, 47.4)"
Hawaii,31.4,"(28.4, 34.5)"
Idaho,36.7,"(33.3, 40.2)"
Illinois,40.5,"(36.4, 44.7)"
Indiana,39.2,"(35.9, 42.7)"
Iowa,37.1,"(34.0, 40.2)"
Kansas,40.6,"(37.6, 43.6)"
Kentucky,40.2,"(32.4, 48.4)"
Louisiana,35.4,"(29.6, 41.6)"
Maine,34.6,"(28.2, 41.7)"
Maryland,33.5,"(31.1, 36.0)"
Massachusetts,33.0,"(30.4, 35.7)"
Michigan,40.3,"(35.6, 45.3)"
Minnesota,35.5,"(32.8, 38.3)"
Mississippi,44.7,"(34.5, 55.4)"
Missouri,36.5,"(31.8, 41.5)"
Montana,36.5,"(30.9, 42.5)"
Nebraska,36.9,"(34.2, 39.8)"
Nevada,34.8,"(31.6, 38.2)"
New Hampshire,36.7,"(30.1, 43.9)"
New Jersey,33.4,"(31.4, 35.4)"
New Mexico,36.4,"(34.6, 38.1)"
New York,33.0,"(31.5, 34.5)"
North Carolina,32.9,"(29.6, 36.3)"
North Dakota,35.0,"(28.4, 42.3)"
Ohio,36.3,"(32.3, 40.4)"
Oklahoma,39.7,"(36.0, 43.6)"
Oregon,36.9,"(33.9, 40.1)"
Pennsylvania,33.9,"(29.3, 38.8)"
Puerto Rico,33.9,"(32.8, 35.1)"
Rhode Island,33.9,"(31.0, 36.9)"
South Carolina,32.7,"(27.4, 38.4)"
South Dakota,41.2,"(31.5, 51.5)"
Tennessee,34.8,"(28.8, 41.4)"
Texas,40.8,"(38.9, 42.8)"
Utah,35.5,"(33.3, 37.8)"
Vermont,31.5,"(24.1, 40.0)"
Virgin Islands,Insufficient data*,Insufficient data*
Virginia,32.5,"(29.3, 35.9)"
Washington,35.8,"(33.7, 37.9)"
West Virginia,41.1,"(32.5, 50.2)"
Wisconsin,35.5,"(30.8, 40.5)"
Wyoming,40.2,"(35.3, 45.3)"
